Ru,Eng
себя,myself
должен,must
тоже,Same
хочешь,Want
давай,Let's
что-то,something
никогда,never
эй,Hey
того,Togo
тогда,Then
него,him
ни,no
тут,here
были,were
конечно,Certainly
правда,Truth
об,about
моя,my
пожалуйста,Please
тобой,you
сказать,say
сегодня,Today
один,one
лучше,better
можешь,can
сюда,here
мной,me
значит,Means
сделать,do
всегда,Always
дело,case
можно,Can
ей,to her
должны,should
порядке,in order
без,without
день,day
том,volume
буду,will
делать,do
хотел,wanted
чего,what
эти,these
много,many
после,after
этим,this
всего,total
во,in
твой,your
ним,him
лет,years
боже,God
них,them
сэр,sir
ведь,after all
мистер,Mister
жизнь,life
потом,Then
ней,her
такой,such
который,which
всех,everyone
через,through
им,them
возможно,Maybe
немного,A little
такое,such
слишком,too much
себе,to myself
зачем,For what
должна,should
моей,mine
люди,People
знаете,you know
этой,this
думаешь,do you think
свою,my
точно,exactly
человек,Human
твоя,yours
под,under
сказала,said
назад,back
из-за,because of
эту,this one
можем,Can
случилось,happened
мама,Mother
мог,could
вместе,together
отец,father
сделал,did
мои,my
кажется,Seems
друг,Friend
куда,Where
никто,nobody
поэтому,That's why
эта,this
которые,which
